/user/74342,Nic Stevenson,WESTERLEY ONE,,
/user/86973,David wcc Buckley wcc,WESTERLEY ONE,,
/user/65012,Dave Morrison,WESTERLEY ONE,,
/user/133577,Will Salisbury,WESTERLEY ONE,,
/user/228324,Nic Lee,WESTERLEY TWO,,
/user/70138,Andrew Beale,WESTERLEY TWO,,
/user/128814,Tim Cummins,WESTERLEY TWO,,
/user/241161,Weiran Shen,WESTERLEY TWO,,
/user/69166,Ian Nguru,WESTERLEY THREE,,
/user/86836,Rob Bennett,WESTERLEY THREE,,
/user/91958,Gt Thakkar,WESTERLEY THREE,,
/user/88613,Jerry Ball,WESTERLEY THREE,,
/user/221746,Tom Yates-ijaz,WESTERLEY FOUR,,
/user/149081,Sam Doshi,WESTERLEY FOUR,,
/user/178580,Timo Achenbach,MOON RIDERS,,7
/user/96645,Marcin Szkudlarek,MOON RIDERS,,9,11,
/user/160071,Wouter Claes,MOON RIDERS,,
/user/171135,Tomasz (m) Poniatowski,MOON RIDERS,,3,9,
/user/175226,Ross Collins,MOON RIDERS,4,6
/user/21787,Hakan Kutluca,MOON RIDERS,9,10
/user/36792,Francois Iker,MOON RIDERS,10,10
/user/134948,Nick Greenhalghяʀ,RASIO RACING,,
/user/143480,Mark Rowbottom яʀ,RASIO RACING,,
/user/129003,Andrzej Krajewski яʀ,RASIO RACING,,
/user/137497,Jørgen Vanbers[яʀ]a,RASIO RACING,,4,10,
/user/131274,Jan Deca [яʀ],RASIO RACING,5,7
/user/62325,Ben Phillips[яʀ],RASIO RACING,8,9
/user/126796,Simon Miller sdw,SOUTHBOROUGH (SDW) BEES,,
/user/177199,Julian Fussell sdw,SOUTHBOROUGH (SDW) BEES,,
/user/183281,Chris Duffy bees,SOUTHBOROUGH (SDW) BEES,,
/user/177844,Tom  Moss ,SOUTHBOROUGH (SDW) BEES,,
/user/65709,Ian stephens Sdw (0),SOUTHBOROUGH (SDW) SKEETERS,,
,Grant Falconer,SOUTHBOROUGH (SDW) SKEETERS,,
/user/179576,Donald Grant sdw,SOUTHBOROUGH (SDW) SKEETERS,,
/user/65709,Ian stephens Sdw (0),SOUTHBOROUGH (SDW) SKEETERS,,
/user/63785,Henrik Mård [pdl],PEDALERS,,1
/user/66009,Jurgen Janssens,PEDALERS,,
/user/61282,Daniel Neugebauer,PEDALERS,,
/user/127225,Kenneth Vansina[pdl],PEDALERS,,
/user/78811,Christophe Contant[pdl],PEDALERS,2,
/user/39166,Ned Bowen,TRANSATLANTIC RAIDERS,,
/user/35315,Mike Lister,TRANSATLANTIC RAIDERS,,
/user/21564,R. Iley h (tlr),TRANSATLANTIC RAIDERS,8,
/user/141031,Kevan Unsworth (m),TEAM CAMERON,,
/user/149819,Peter Kennedy (m),TEAM CAMERON,,
/user/67054,Johan Oelofse sanz,TEAM SANZ,,
/user/94990,Danie  Steyn sanz,TEAM SANZ,,
/user/106173,Hendre Knoetze sanz,TEAM SANZ,,
/user/112364,Stefan Kruger sanz,TEAM SANZ,,
/user/79121,James Melville,GLASGOW UNITED CC,,
/user/141761,Alasdair Mcalpine,GLASGOW UNITED CC,,
/user/108193,Stevie Couper,GLASGOW UNITED CC,9,
/user/175915,Kristen Ege,TEAM POCOMOTION (VIKINGS),,
/user/165638,Mads Schnoor,TEAM POCOMOTION (VIKINGS),,
,Nick Giles,TEAM POCOMOTION (BLIGHTY),,
/user/95553,J. Sammut (a),TEAM POCOMOTION (BLIGHTY),,
/user/103369,Kader Allouni,TEAM POCOMOTION (BLIGHTY),,
/user/17957,Tom Gakes [drft],TEAM BTR,2,
/user/239729,John Bergensk-brt,TEAM BTR,,
/user/148716,Stuart  Hardy [brt],TEAM BTR,,
