pos,url,name,westerley points,race count
1,https://rgtdb.com/user/128814,Tim Cummins,39,2
2,https://rgtdb.com/user/70138,Andrew Beale,38,2
3,https://rgtdb.com/user/86973,David wcc Buckley wcc,37,2
4,https://rgtdb.com/user/65012,Dave Morrison,31,2
5,https://rgtdb.com/user/91958,Gt Thakkar,29,2
6,https://rgtdb.com/user/149081,Sam Doshi,27,2
7,https://rgtdb.com/user/69166,Ian Nguru,17,1
8,https://rgtdb.com/user/241161,Weiran Shen,17,1
9,https://rgtdb.com/user/221746,Tom Yates-ijaz,16,1
10,https://rgtdb.com/user/228324,Nic Lee,13,1
